0 1.52371 0.00000
1 1.50392 0.00000
2 1.50544 0.01631
3 1.50849 0.01066
4 1.50615 0.00824
5 1.50900 0.00725
6 1.50710 0.00636
7 1.50365 0.00658
8 1.50406 0.00576
9 1.50356 0.00514
10 1.50569 0.00514
11 1.50496 0.00473
12 1.50520 0.00434
13 1.50450 0.00407
14 1.50376 0.00386
15 1.50395 0.00360
16 1.50486 0.00351
17 1.50458 0.00331
18 1.50377 0.00324
19 1.50213 0.00350
20 1.50140 0.00341
21 1.50149 0.00324
22 1.50142 0.00310
23 1.50126 0.00297
24 1.50068 0.00290
25 1.50018 0.00283
26 1.49993 0.00274
27 1.50056 0.00271
28 1.50107 0.00267
29 1.50132 0.00259
30 1.50116 0.00251
31 1.50106 0.00243
32 1.50111 0.00235
33 1.50144 0.00231
34 1.50144 0.00224
35 1.50135 0.00218
36 1.50138 0.00212
37 1.50142 0.00206
38 1.50131 0.00201
39 1.50088 0.00200
40 1.50050 0.00199
41 1.50058 0.00194
42 1.50036 0.00191
43 1.50017 0.00188
44 1.50002 0.00184
45 1.50018 0.00181
46 1.50030 0.00177
47 1.50059 0.00176
48 1.50021 0.00176
49 1.49991 0.00175
50 1.49968 0.00173
51 1.49964 0.00170
52 1.49976 0.00167
53 1.49998 0.00165
54 1.50006 0.00163
55 1.50014 0.00160
56 1.50019 0.00157
57 1.50041 0.00156
58 1.50040 0.00153
59 1.50048 0.00151
60 1.50015 0.00152
61 1.50033 0.00151
62 1.50042 0.00149
63 1.50038 0.00146
64 1.50067 0.00147
65 1.50029 0.00150
66 1.50023 0.00147
67 1.50004 0.00146
68 1.50017 0.00145
69 1.50020 0.00143
70 1.50022 0.00141
71 1.50030 0.00139
72 1.50033 0.00137
73 1.50037 0.00135
74 1.50023 0.00134
75 1.50043 0.00134
76 1.50023 0.00134
77 1.50032 0.00132
78 1.50036 0.00131
79 1.50020 0.00130
80 1.50049 0.00132
81 1.50024 0.00133
82 1.50034 0.00131
83 1.50032 0.00130
84 1.50044 0.00129
85 1.50050 0.00128
86 1.50040 0.00127
87 1.50044 0.00125
88 1.50037 0.00124
89 1.50013 0.00125
90 1.50025 0.00124
91 1.50011 0.00123
92 1.50012 0.00122
93 1.49998 0.00122
94 1.49982 0.00121
95 1.49980 0.00120
96 1.49980 0.00119
97 1.49971 0.00118
98 1.49968 0.00117
99 1.49965 0.00116
