0.00000 0.00000
1.00000 0.00000
1.41386 0.00045
1.73123 0.00058
1.99897 0.00071
2.23494 0.00077
2.44852 0.00089
2.64503 0.00101
2.82816 0.00115
2.99932 0.00125
3.16142 0.00133
3.31694 0.00135
3.46445 0.00136
3.60559 0.00140
3.74219 0.00157
3.87346 0.00164
4.00069 0.00174
4.12398 0.00179
4.24355 0.00180
4.36009 0.00189
4.47305 0.00202
4.58374 0.00206
4.69170 0.00205
4.79699 0.00212
4.89977 0.00222
5.00030 0.00225
5.09858 0.00227
5.19536 0.00219
5.29114 0.00218
5.38419 0.00229
5.47543 0.00225
5.56617 0.00223
5.65550 0.00235
5.74294 0.00233
5.82942 0.00238
5.91532 0.00250
5.99838 0.00250
6.08164 0.00254
6.16265 0.00257
6.24355 0.00261
6.32383 0.00262
6.40237 0.00265
6.48041 0.00259
6.55722 0.00259
6.63239 0.00250
6.70695 0.00245
6.78239 0.00249
6.85499 0.00252
6.92743 0.00251
6.99785 0.00244
7.06950 0.00252
7.13912 0.00259
7.20878 0.00264
7.27850 0.00278
7.34568 0.00275
7.41376 0.00267
7.48144 0.00277
7.54883 0.00282
7.61462 0.00282
7.68109 0.00292
7.74693 0.00293
7.80982 0.00294
7.87471 0.00297
7.93714 0.00303
7.99990 0.00303
8.06211 0.00302
8.12375 0.00309
8.18487 0.00310
8.24548 0.00314
8.30443 0.00327
8.36418 0.00327
8.42380 0.00328
8.48386 0.00340
8.54204 0.00343
8.60099 0.00351
8.65770 0.00349
8.71551 0.00361
8.77225 0.00361
8.82835 0.00364
8.88486 0.00375
8.94129 0.00370
8.99722 0.00378
9.05208 0.00380
9.10725 0.00374
9.16279 0.00385
9.21641 0.00391
9.27143 0.00391
9.32471 0.00387
9.37712 0.00390
9.43073 0.00387
9.48313 0.00391
9.53609 0.00390
9.58837 0.00392
9.64074 0.00401
9.69222 0.00407
9.74357 0.00410
9.79438 0.00406
9.84603 0.00399
9.89663 0.00407
9.94774 0.00413
